keyApp	keyConfig	ELink dynamic energy (J)	ELink static energy (J)	L1D miss	L1D read	L1D read energy (J)	L1D static energy (J)	L1D write	L1D write energy (J)	L1I miss	L1I read	L1I read energy (J)	L1I static energy (J)	L1I write	L1I write energy (J)	L2 miss	L2 read	L2 read energy (J)	L2 static energy (J)	L2 write	L2 write energy (J)	L3 miss	L3 read	L3 read energy (J)	L3 static energy (J)	L3 write	L3 write energy (J)	bits through buffer (bit*buffer)	bits through electrical link (bit*link)	bits through router (bit*router)	buffer count	buffer dynamic energy (J)	buffer static energy (J)	busy time (ps*num_proc)	core count	elink count	exec time (ps)	router count	router dynamic energy (J)	router static energy (J)	running time (s)	total proc dynamic energy (J)	total proc static energy (J)	waiting time (ps*num_proc)	L1 cache count	L2 cache count	L3 cache count
FFT	WithLaserBank-1ns	2e-06	0.0	2890.0	5218.0	1.18237e-07	0.0	3780.0	0.0	2027.0	29472.0	2e-06	0.0	0.0	0.0	4627.0	3632.0	0.0	0.0	1285.0	0.0	4323.0	3374.0	0.0	0.0	1253.0	0.0	42271104.0	26493376.0	33034112.0	44.0	7e-06	0.0	2230907000.0	128.0	336.0	168131000.0	44.0	8e-06	0.0	261.59	0.00335049	0.00282667	19289861000.0			
FFT	WithLaserBank-10ns	2e-06	0.0	2926.0	5261.0	1.19212e-07	0.0	3737.0	0.0	2014.0	29472.0	2e-06	0.0	0.0	0.0	4641.0	3650.0	0.0	0.0	1290.0	0.0	4329.0	3389.0	0.0	0.0	1252.0	0.0	42410688.0	26574272.0	33144640.0	44.0	7e-06	0.0	2239412000.0	128.0	336.0	169565500.0	44.0	8e-06	0.0	240.71	0.00336326	0.00285078	19464972000.0			
FFT	WithLaserBank-50ns	2e-06	0.0	2884.0	5294.0	1.19959e-07	0.0	3704.0	0.0	2012.0	29472.0	2e-06	0.0	0.0	0.0	4609.0	3643.0	0.0	0.0	1253.0	0.0	4333.0	3385.0	0.0	0.0	1224.0	0.0	42166336.0	26475456.0	32981696.0	44.0	7e-06	0.0	2185496500.0	128.0	336.0	167872500.0	44.0	8e-06	0.0	264.99	0.00328229	0.00282232	19302183500.0			
FFT	WithLaserBank-100ns	2e-06	0.0	2946.0	5320.0	1.20549e-07	0.0	3678.0	0.0	2006.0	29472.0	2e-06	0.0	0.0	0.0	4643.0	3673.0	0.0	0.0	1279.0	0.0	4329.0	3402.0	0.0	0.0	1241.0	0.0	42469632.0	26632896.0	33203712.0	44.0	7e-06	0.0	2161858500.0	128.0	336.0	172267500.0	44.0	8e-06	0.0	259.48	0.00324679	0.00289621	19888381500.0			
FFT	WithLaserBank-500ns	2e-06	0.0	2916.0	5239.0	1.18713e-07	0.0	3759.0	0.0	1971.0	29472.0	2e-06	0.0	0.0	0.0	4605.0	3602.0	0.0	0.0	1285.0	0.0	4296.0	3349.0	0.0	0.0	1256.0	0.0	42227648.0	26514304.0	33032064.0	44.0	7e-06	0.0	2149344000.0	128.0	336.0	163095000.0	44.0	8e-06	0.0	263.18	0.00322799	0.002742	18726816000.0			
FFT	WithLaserBank-1000ns	2e-06	0.0	2885.0	5280.0	1.19642e-07	0.0	3718.0	0.0	1991.0	29472.0	2e-06	0.0	0.0	0.0	4595.0	3621.0	0.0	0.0	1255.0	0.0	4317.0	3367.0	0.0	0.0	1228.0	0.0	42076416.0	26416704.0	32913408.0	44.0	7e-06	0.0	2154481000.0	128.0	336.0	163533000.0	44.0	8e-06	0.0	272.96	0.00323571	0.00274936	18777743000.0			
FFT	WithoutLaserBank	2e-06	0.0	2909.0	5295.0	1.19982e-07	0.0	3703.0	0.0	2002.0	29472.0	2e-06	0.0	0.0	0.0	4601.0	3642.0	0.0	0.0	1269.0	0.0	4298.0	3365.0	0.0	0.0	1236.0	0.0	42240448.0	26458816.0	33009280.0	44.0	7e-06	0.0	2131056500.0	128.0	336.0	160235000.0	44.0	8e-06	0.0	234.35	0.00320053	0.00269392	18379023500.0			
PARSECCANNEAL	WithLaserBank-1ns	1.3e-05	0.0	18512.0	49221.0	1.11532e-06	0.0	533.0	0.0	12946.0	87545.0	7e-06	0.0	0.0	0.0	29985.0	31253.0	1e-06	0.0	205.0	0.0	29584.0	29790.0	2e-06	0.0	195.0	0.0	278869952.0	175212224.0	218313536.0	44.0	4.6e-05	0.0	18167253500.0	128.0	336.0	402768500.0	44.0	5e-05	0.0	7842.57	0.0272845	0.00677146	33387114500.0	128.0	32.0	4.0
PARSECCANNEAL	WithLaserBank-10ns	1.3e-05	0.0	18486.0	49221.0	1.11532e-06	0.0	533.0	0.0	12930.0	87545.0	7e-06	0.0	0.0	0.0	29928.0	31212.0	1e-06	0.0	204.0	0.0	29501.0	29735.0	2e-06	0.0	193.0	0.0	277733248.0	174163712.0	217244544.0	44.0	4.6e-05	0.0	18106022000.0	128.0	336.0	397186500.0	44.0	5e-05	0.0	7887.45	0.0271925	0.00667761	32733850000.0	128.0	32.0	4.0
PARSECCANNEAL	WithLaserBank-50ns	1.3e-05	0.0	18563.0	49268.0	1.11639e-06	0.0	486.0	0.0	12898.0	87545.0	7e-06	0.0	0.0	0.0	30000.0	31273.0	1e-06	0.0	188.0	0.0	29567.0	29821.0	2e-06	0.0	179.0	0.0	279009472.0	175367552.0	218464704.0	44.0	4.6e-05	0.0	18165738000.0	128.0	336.0	398486000.0	44.0	5e-05	0.0	7854.7	0.0272822	0.00669946	32840470000.0	128.0	32.0	4.0
PARSECCANNEAL	WithLaserBank-100ns	1.3e-05	0.0	18500.0	49210.0	1.11507e-06	0.0	544.0	0.0	12790.0	87545.0	7e-06	0.0	0.0	0.0	29836.0	31079.0	1e-06	0.0	211.0	0.0	29396.0	29635.0	2e-06	0.0	201.0	0.0	278031232.0	174898240.0	217785280.0	44.0	4.6e-05	0.0	18000388000.0	128.0	336.0	400626500.0	44.0	5e-05	0.0	7878.24	0.0270339	0.00673545	33279804000.0	128.0	32.0	4.0
